ticker,rank,name,sector,ind,country,cur,P,mcap_usd,tracks,trackA_hits,trackB_hits,pe_ttm,pe_ntm,pe1,pe2,pe_norm,eps_norm,fpeg,peg2y,e_norm,rg1,rg2,ev_ebit_ttm,ev_ebit_norm,ev_ebit_hist_med,fcfy_norm,fcfy_ttm_sbc,roic,wacc,ke,rote_n,ptbv,om_ttm,om_avg,m_norm,cyc2,crit,v_bear,v_base,v_bull,v_pw,epv,mos,bear_dd,epv_ratio,growth_share,n_implied,dur_ev,n2,disp,rv1m_f2,rv3m_f2,r3m,r12m,nd_ebitda,sh_g,sbc_rev,A,B,C,D,E,F,G,H,total,grade,lens1,lens2,both,factor,excl,risk,dflag
AFYA,,Afya Limited,Consumer Defensive,Education & Training Services,Brazil,USD,13.58,1.2015,AB,"FCFy,EV/EBIT,vsHist,vsPeer","fPEG,Rev>Px",7.4739,6.9258,7.4471,6.75,9.3848,1.447,0.6706,2.2693,0.0305,0.0767,0.0735,6.6711,6.6711,11.1056,0.1476,0.1992,0.1515,0.1004,0.1226,,,0.326,0.286,0.326,중반,0,17.7127,27.1107,32.6586,26.1482,18.4775,0.9255,0.3043,1.3606,0.2934,0.0,6.0,5.0,0.2145,0.024,0.0182,-0.0868,-0.1239,1.303,-0.0818,0.0058,20,15,13.0,13,10,7,10,3,91.0,S,True,False,False,,데이터 이상: 매출·시총 단위 불일치,,매출·시총 단위 불일치
PRG,1.0,"PROG Holdings, Inc.",Industrials,Rental & Leasing Services,United States,USD,32.27,1.2854,AB,"FCFy,EV/EBIT,vsPeer","fPEG,Rev>Px",7.9287,6.0027,6.5647,5.8174,4.7788,6.7527,0.4673,0.2334,0.1285,0.2686,0.0761,5.4093,5.0979,3.928,0.2014,0.2238,0.1801,0.0967,0.1292,,,0.1494,0.1664,0.1585,중반,0,54.6314,99.141,116.2472,92.2901,59.6058,1.8599,0.6929,1.8471,0.3541,0.0,2.0,7.0,0.1154,-0.016,0.0403,-0.3002,-0.0338,0.4008,0.0043,0.012,20,15,13.0,11,10,7,9,5,90.0,S,True,True,True,소비자 신용,,매출채권·재고 급증,
NUTX,,Nutex Health Inc.,Healthcare,Medical Care Facilities,United States,USD,201.86,1.3823,A,"FCFy,EV/EBIT,vsPeer",,8.239,7.2479,7.2627,7.2424,5.3503,37.7287,25.8267,0.1149,0.0028,-0.0037,0.1057,4.185,4.185,4.0711,0.186,0.1914,0.5093,0.1194,0.137,,,0.4302,0.0867,0.4302,중반,2,309.3418,445.535,538.678,434.7725,313.3112,1.1538,0.5325,1.5521,0.2794,0.0,7.0,5.0,0.2102,0.2102,0.225,0.2131,0.9688,0.3694,0.1017,0.0113,20,15,15.0,13,10,7,7,3,90.0,S,True,False,False,,"회계·지배구조: 매출의 약 63%가 No Surprises Act IDR 중재 기반, 비용 추정 변경으로 이익 증가 — 이익 지속성·규제 리스크",희석/SBC 과다;매출채권·재고 급증,
HRMY,,"Harmony Biosciences Holdings, I",Healthcare,Biotechnology,United States,USD,40.48,2.3574,AB,"FCFy,EV/EBIT,vsPeer","fPEG,CAGR+PE,Compress",10.2853,6.4365,7.7523,6.0541,12.9451,3.1271,0.2295,0.1774,0.3628,0.1874,0.1258,7.9929,7.1936,9.0341,0.0754,0.1332,0.3564,0.0911,0.0938,,,0.2403,0.2905,0.267,회복,0,44.0527,101.9666,148.5905,99.1441,45.043,1.4492,0.0883,1.1127,0.5457,0.0,5.0,2.0,0.0878,0.1108,0.1682,0.1412,0.4715,-2.0073,0.0056,0.0426,20,15,6.5,14,10,10,10,3,88.5,S,True,True,True,,"가치함정: Wakix 단일 제품, 2030년 전후 제네릭 진입 예정 — 영속 가정 DCF 부적합",,
KYIV,,Kyivstar Group Ltd.,Communication Services,Telecom Services,United Arab Emirates,USD,13.02,3.0061,AB,"FCFy,EV/EBIT","fPEG,Rev>Px",0.2157,0.1827,0.2085,0.1746,9.7731,1.3322,0.0094,0.014,0.1307,0.1483,0.0739,6.459,6.3237,7.0262,0.1062,0.0908,0.2474,0.0928,0.1006,,,0.3695,0.3926,0.3774,중반,1,16.4491,32.8382,42.3133,31.1097,16.7024,1.3894,0.2634,1.2828,0.4631,0.0,3.0,4.0,0.1317,-0.0068,0.0601,-0.1173,0.0923,0.0714,0.0001,0.0,20,15,6.5,15,10,7,10,3,86.5,S,True,True,True,,데이터 이상: 컨센서스 단위 이상(P/E<2),,컨센서스 단위 이상(P/E<2)
NMIH,3.0,NMI Holdings Inc,Financial Services,Insurance - Specialty,United States,USD,42.19,3.1734,A,P/TBV,,8.3215,7.7064,7.99,7.606,7.8458,5.3774,1.5262,1.2469,0.0618,0.0683,0.047,5.5385,5.4054,5.4153,0.1258,0.1326,0.1626,0.079,0.1,0.1626,1.1747,0.7324,0.7726,,중반,0,46.7248,65.9026,76.3882,63.7295,58.4061,0.5105,0.1075,1.3844,0.0835,,,6.0,0.1082,0.0129,0.0245,0.0387,0.0746,-0.3829,-0.0337,0.0283,20,15,13.0,9,9,7,10,3,86.0,S,True,False,False,보험 사이클,,,
BZ,,KANZHUN LIMITED - American Depo,Communication Services,Internet Content & Information,China,USD,14.41,6.669,A,"EV/EBIT,vsHist,NetCash",fPEG,11.8535,10.0788,11.2426,9.7048,18.6179,0.774,0.6361,0.8041,0.1253,0.1239,0.1253,8.4042,8.4042,24.6869,0.0527,0.0804,8.9226,0.0974,0.0976,,,0.3284,0.0761,0.3284,중반,2,15.4508,24.0352,31.0504,23.6429,14.6193,0.6407,0.0722,1.0145,0.3817,0.0,6.0,18.0,0.1949,0.017,0.0092,0.0843,-0.3735,-5.6405,0.0206,0.1047,20,12,13.0,14,10,7,7,3,86.0,S,True,True,True,,데이터 이상: 매출·시총 단위 불일치,희석/SBC 과다;매출채권·재고 급증,매출·시총 단위 불일치
REPX,2.0,"Riley Exploration Permian, Inc.",Energy,Oil & Gas E&P,United States,USD,41.07,0.8911,AB,"FCFy,EV/EBIT,vsPeer","fPEG,CAGR+PE,Compress",9.2292,5.3569,6.4272,5.0442,5.6747,7.2373,0.1954,0.1573,0.3407,0.5225,0.0687,6.0238,4.9518,5.0058,0.1802,0.0468,0.1648,0.0918,0.1046,,,0.3943,0.5477,0.4796,중반,1,59.2398,106.6069,115.9807,97.1086,77.8089,1.3645,0.4424,1.8945,0.1987,0.0,4.0,5.0,0.1339,-0.011,0.0543,0.2172,0.4182,0.9092,0.0046,0.0233,20,15,15.0,7,10,7,9,3,86.0,S,True,True,True,유가,,매출채권·재고 급증,
EXEL,6.0,"Exelixis, Inc.",Healthcare,Biotechnology,United States,USD,56.73,14.0567,B,vsPeer,"fPEG,CAGR+PE",16.2086,13.9156,15.8383,13.3141,17.0514,3.327,0.734,0.7898,0.1762,0.1002,0.136,13.4908,13.4908,12.6396,0.0561,0.0744,0.7044,0.0823,0.0826,,,0.4072,0.1789,0.4072,중반,1,47.0062,80.8201,109.7819,79.607,43.1544,0.4033,-0.1714,0.7607,0.4579,0.0,7.0,11.0,0.4318,0.0251,0.0525,0.0358,0.4531,-0.6596,-0.0869,0.0462,16,12,11.0,14,10,7,10,5,85.0,S,True,True,True,,,,
INVA,,"Innoviva, Inc.",Healthcare,Biotechnology,United States,USD,20.24,1.4622,A,"FCFy,EV/EBIT,vsPeer",Rev>Px,10.7541,8.978,9.06,8.9478,11.2267,1.8029,7.1631,,-0.1721,0.0972,0.0858,7.0912,6.5818,7.3828,0.0881,0.1148,0.1461,0.0867,0.0926,,,0.3695,0.4856,0.3981,회복,0,25.8743,38.6742,45.8208,37.2609,27.4863,0.841,0.2784,1.358,0.2623,0.0,5.0,5.0,0.4023,-0.0292,-0.0111,-0.1413,0.0732,-1.6383,-0.1306,0.0277,20,15,8.0,10,10,10,9,3,85.0,S,True,False,False,,가치함정: GSK 호흡기 로열티 만료 임박 — 로열티 감소 구조,매출채권·재고 급증,
